编号,文件名,动作名称,分类,角色外观,推荐用途,优先级,关键词,动作说明,画布尺寸,帧数,循环时长秒,透明背景,文件大小KB,SHA256,相对路径
001,001-线条小狗动态表情包.gif,开车出行,移动出行,白色小狗,特殊移动,中,汽车|驾驶|出行,白色小狗驾驶红色汽车前进,250×250,2,0.2,是,831.6,22776DF2F0AA2A1B1353048A45B650F216778A642326B1AF147F7659E525AAA1,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/001-线条小狗动态表情包.gif
002,002-线条小狗动态表情包.gif,坐转椅写笔记,工作学习,白色小狗,工作待机,高,转椅|写字|笔记|办公,白色小狗坐在绿色转椅上低头写笔记,320×300,18,2.97,是,869.0,F074A85C054CC0232C5D979E455924670F3AB57684A054F879640BFC32B3B342,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/002-线条小狗动态表情包.gif
003,003-线条小狗动态表情包.gif,嚎啕大哭,负面情绪,白色小狗,低心情状态,高,大哭|眼泪|伤心,仰头哭泣并向两侧喷出大量眼泪,320×300,20,2.0,是,787.3,225C52008F270AF6102F7C8D75E9FF7F4BD36E1D4787C3D4C2D635976904B7B1,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/003-线条小狗动态表情包.gif
004,004-线条小狗动态表情包.gif,反复跳跃,运动健身,白色小狗,点击互动,高,跳跃|压缩|弹起,白色小狗反复压低身体再向上跳起,250×250,10,1.0,是,769.3,7C641C0052A8C0FED33BAE3ACD78941086910B0D8683919F50108E7672A363D1,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/004-线条小狗动态表情包.gif
005,005-线条小狗动态表情包.gif,快速跑过,移动出行,黄色立耳狗,移动动作,中,奔跑|转身|残影,快速从画面一侧跑过并带有残影,800×800,59,1.8,是,872.2,1812611CBA931CA16042E6AB1AD03DF38BB1CF756824FA734881D871A6FCC401,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/005-线条小狗动态表情包.gif
006,006-线条小狗动态表情包.gif,趴在石头上休息,睡眠休息,黄色垂耳狗,休息状态,中,石头|趴下|休息,趴在灰色石头上轻微起伏,360×360,17,1.7,是,890.9,0A7E3E4E78BC6D060580AB5A9D55EB4163789FBD15CDFBF4B63B4D57DCF5C3BA,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/006-线条小狗动态表情包.gif
007,007-线条小狗动态表情包.gif,坐在石头上,待机动作,白色小狗,特殊待机,高,石头|坐姿|晃动,坐在石头上轻轻晃动身体,360×360,11,1.1,是,712.4,3B64BD26255161BE3E231EC970AA2FFE56D527BC7FC6373084E9F8B015908DF9,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/007-线条小狗动态表情包.gif
008,008-线条小狗动态表情包.gif,爱心跳跃欢呼,爱心表达,黄色立耳狗,高心情状态,中,爱心|跳跃|开心,爱心环绕后放大跳起欢呼,250×250,11,0.77,是,737.2,BA2357CED930486FDBEF2B6717F16F8EF481B75BCDAD5520B77CD7D44380C780,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/008-线条小狗动态表情包.gif
009,009-线条小狗动态表情包.gif,举杠铃锻炼,运动健身,黄色立耳狗,体力互动,中,杠铃|健身|力量,反复举起杠铃进行力量训练,250×250,26,1.82,是,704.1,A843A8F62EAB1D46387953FEC29B1E6C6C531B765983EB79959AD1436BA1960D,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/009-线条小狗动态表情包.gif
010,010-线条小狗动态表情包.gif,黄狗欺负白狗,双宠互动,白色加黄色双宠,伙伴互动,中,欺负|捉弄|双宠,黄色小狗反复欺负身边的白色小狗,250×250,22,1.54,是,832.0,D7F5633C4D04E1AF9741A859E0D78AC78DB9BF1FBABF702BC055E14E14A1C6A4,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/010-线条小狗动态表情包.gif
011,011-线条小狗动态表情包.gif,骑在伙伴身上玩闹,双宠互动,白色加黄色双宠,伙伴互动,低,打闹|骑乘|双宠,黄色小狗坐在趴着的白色小狗身上玩闹,250×250,10,0.7,是,848.6,234058C10DCA37EFA36918DC22E86EE0469AC506EEFE661949DC053D785FA92E,assets/source/线条小狗 表情包图合集/线条小狗 动态表情包 200张/011-线条小狗动态表情包.gif
